Average Precision:
R101: 0.6491781165694209
R102: 0.8234599277165888
R103: 0.3232784186520978
R104: 0.8603091069257
R105: 0.7570945139419404
R106: 0.6052188552188551
R107: 0.17222222222222225
R108: 0.13874269005847953
R109: 0.7061264294296585
R110: 0.44698412698412693
R111: 0.6388888888888888
R112: 0.8477564102564102
R113: 0.6722581025212603
R114: 0.885
R115: 0.3888888888888889
R116: 0.29821784805931273
R117: 0.31746031746031744
R118: 0.2333333333333333
R119: 0.2070378151260504
R120: 0.5042274942633366
R121: 0.5776229167388518
R122: 0.6106988077805144
R123: 0.3636363636363636
R124: 0.5642446633825944
R125: 0.5588041847508888
R126: 0.7192441107477707
R127: 0.33772727272727276
R128: 0.10499222999222999
R129: 0.5090728634753934
R130: 0.34722222222222215
R131: 0.14454334365325078
R132: 0.2000758709227402
R133: 0.5425
R134: 0.2753614577143989
R135: 0.7485738019290652
R136: 0.2502830474441728
R137: 0.3833333333333333
R138: 0.5371845619339354
R139: 0.6464646464646464
R140: 0.7554097417733783
R141: 0.5871436372948898
R142: 0.38038277511961727
R143: 0.13285547785547785
R144: 0.44490740740740736
R145: 0.2430933655979028
R146: 0.3285779221214117
R147: 0.3715709728867624
R148: 0.3396809199192596
R149: 0.19696192696192696
R150: 0.27737669307436746
MAP: 0.45910460090757865

Precision@12:
R101: 0.7066498316498316
R102: 0.9622222222222223
R103: 0.48333333333333334
R104: 0.7980122655122656
R105: 0.865909090909091
R106: 0.7575757575757575
R107: 0.225
R108: 0.125
R109: 0.928409090909091
R110: 0.4694444444444444
R111: 0.6388888888888888
R112: 0.925
R113: 0.8441043083900226
R114: 0.885
R115: 0.5
R116: 0.40277777777777773
R117: 0.31746031746031744
R118: 0.2333333333333333
R119: 0.25
R120: 0.611904761904762
R121: 0.7591836734693878
R122: 0.6163265306122448
R123: 0.5
R124: 0.75
R125: 0.6925170068027212
R126: 0.8596165739022883
R127: 0.33772727272727276
R128: 0.1111111111111111
R129: 0.788888888888889
R130: 0.34722222222222215
R131: 0.08333333333333333
R132: 0.29166666666666663
R133: 0.6
R134: 0.41666666666666663
R135: 0.912878787878788
R136: 0.2111111111111111
R137: 0.3833333333333333
R138: 1.0
R139: 0.6464646464646464
R140: 0.8398027898027899
R141: 0.6572356215213357
R142: 0.5909090909090909
R143: 0.12878787878787878
R144: 0.45888888888888885
R145: 1.0
R146: 0.18333333333333335
R147: 0.38272727272727275
R148: 0.1
R149: 0.14090909090909093
R150: 0.39285714285714285
Average: 0.5422704871847729

DCG12:
R101: 3.405559698767598
R102: 5.200104124088254
R103: 2.209619503724523
R104: 4.543559338088346
R105: 4.423342259573597
R106: 2.2890648263178877
R107: 0.7640098914067264
R108: 0.3333333333333333
R109: 4.538553940861261
R110: 1.8770711884305795
R111: 2.1309297535714578
R112: 3.4642630869047912
R113: 4.022787958033084
R114: 3.394939644978184
R115: 1.5
R116: 1.7201861405678749
R117: 1.3026018174652085
R118: 1.0799729413151111
R119: 0.5
R120: 2.8668566864965266
R121: 3.78601283140042
R122: 3.28601283140042
R123: 1.5
R124: 2.720186140567875
R125: 3.290231424865667
R126: 4.091666643783097
R127: 1.7188704706102858
R128: 0.31546487678572877
R129: 3.247424626021168
R130: 1.3511158941393324
R131: 0.27894294565112987
R132: 0.9642630869047908
R133: 2.2474246260211674
R134: 1.3868528072345416
R135: 4.51646689084841
R136: 0.7461414348591218
R137: 1.709619503724523
R138: 2.6309297535714578
R139: 1.9199945798893454
R140: 4.671639585098207
R141: 3.4785194510176387
R142: 1.2890648263178879
R143: 0.5680077719690177
R144: 2.156014134081709
R145: 1
R146: 0.709619503724523
R147: 2.2558905748675406
R148: 0.3010299956639812
R149: 0.5900948219818691
R150: 1.3562071871080221
Average: 2.233009307080665

